,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-25,Unkn-25,Unkn-33,Unkn-33
A,Sample,STD1,STD1,7.1_B,7.1_B,15.5_B,15.5_B,17.2_D,17.2_D,8.2_A,8.2_A,15.3_C,15.3_C
A,Peak 1,,,,,,,,,,,,
A,Peak 2,,,,,,,,,,,,
B,Content,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-26,Unkn-26,Unkn-34,Unkn-34
B,Sample,STD2,STD2,3.2_C,3.2_C,8.2_B,8.2_B,6.5_D,6.5_D,3.2_A,3.2_A,17.4_C,17.4_C
B,Peak 1,,,,,,,,,,,,
B,Peak 2,,,,,,,,,,,,
C,Content,Std-3,Std-3,,,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-27,Unkn-27,Unkn-35,Unkn-35
C,Sample,STD3,STD3,,,11.1_B,11.1_B,9.6_C,9.6_C,6.4_B,6.4_B,12.6_D,12.6_D
C,Peak 1,,,,,,,,,,,,
C,Peak 2,,,,,,,,,,,,
D,Content,Std-4,Std-4,,,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-28,Unkn-28,Unkn-36,Unkn-36
D,Sample,STD4,STD4,,,10.3_B,10.3_B,2.4_C,2.4_C,10.1_D,10.1_D,12.2_C,12.2_C
D,Peak 1,,,,,,,,,,,,
D,Peak 2,,,,,,,,,,,,
E,Content,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-29,Unkn-29,Unkn-37,Unkn-37
E,Sample,STD5,STD5,2.3_A,2.3_A,9.4_A,9.4_A,6.2_B,6.2_B,10.3_D,10.3_D,3.3_D,3.3_D
E,Peak 1,,,,,,,,,,,,
E,Peak 2,,,,,,,,,,,,
F,Content,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-30,Unkn-30,Unkn-38,Unkn-38
F,Sample,STD6,STD6,11.4_C,11.4_C,2.4_A,2.4_A,3.4_A,3.4_A,12.4_D,12.4_D,7.1_C,7.1_C
F,Peak 1,,,,,,,,,,,,
F,Peak 2,,,,,,,,,,,,
G,Content,,,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-31,Unkn-31,Unkn-39,Unkn-39
G,Sample,,,9.2_A,9.2_A,11.3_D,11.3_D,12.5_C,12.5_C,12.6_B,12.6_B,6.4_D,6.4_D
G,Peak 1,,,,,,,,,,,,
G,Peak 2,,,,,,,,,,,,
H,Content,NTC-1,NTC-1,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-32,Unkn-32,Unkn-40,Unkn-40
H,Sample,NEG,NEG,13.4_B,13.4_B,13.1_D,13.1_D,11.1_A,11.1_A,12.6_A,12.6_A,7.2_C,7.2_C
H,Peak 1,,,,,,,,,,,,
H,Peak 2,,,,,,,,,,,,
